airfoil_id,version_id,alpha_deg,reynolds_number,cl,cd,perf_source,perf_rule,is_anomaly
ag17,ag17_v1,-4,100000,-0.39404213775963326,0.011914149947534251,synthetic,synthetic_aero_model_v1,0
ag17,ag17_v1,-2,100000,-0.19703717183149724,0.00878159239176247,synthetic,synthetic_aero_model_v1,0
ag17,ag17_v1,0,100000,0.0,0.008100945947142292,synthetic,synthetic_aero_model_v1,0
ag17,ag17_v1,2,100000,0.19549765257995197,0.009295574164111527,synthetic,synthetic_aero_model_v1,0
ag17,ag17_v1,4,100000,0.39613038719093835,0.011874641714086965,synthetic,synthetic_aero_model_v1,0
ag17,ag17_v1,6,100000,0.5978820494889998,0.016813290655489317,synthetic,synthetic_aero_model_v1,0
ag17,ag17_v1,8,100000,0.800577547196301,0.02443119646827536,synthetic,synthetic_aero_model_v1,0
ag17,ag17_v1,10,100000,0.9994132176663273,0.031557324821948125,synthetic,synthetic_aero_model_v1,0
ag17,ag17_v1,12,100000,1.1663574113807662,0.046008568556538246,synthetic,synthetic_aero_model_v1,0
ag17,ag17_v1,14,100000,1.1647848621706915,0.05188169575450657,synthetic,synthetic_aero_model_v1,0
ag17,ag17_v1,16,100000,1.0802338693626647,0.05621418070291528,synthetic,synthetic_aero_model_v1,0
ag17,ag17_v1,-4,300000,-0.4126159668553128,0.011813115326741017,synthetic,synthetic_aero_model_v1,0
ag17,ag17_v1,-2,300000,-0.206547588275635,0.008873189900509181,synthetic,synthetic_aero_model_v1,0
ag17,ag17_v1,0,300000,0.0,0.007902587215855496,synthetic,synthetic_aero_model_v1,0
ag17,ag17_v1,2,300000,0.19964843943357652,0.008911558431592595,synthetic,synthetic_aero_model_v1,0
ag17,ag17_v1,4,300000,0.4182250926415016,0.011656984612813908,synthetic,synthetic_aero_model_v1,0
ag17,ag17_v1,6,300000,0.6108787529785861,0.017408402794557538,synthetic,synthetic_aero_model_v1,0
ag17,ag17_v1,8,300000,0.7977314346037704,0.02520077232707511,synthetic,synthetic_aero_model_v1,0
ag17,ag17_v1,10,300000,0.9943802960938005,0.033903385968418014,synthetic,synthetic_aero_model_v1,0
ag17,ag17_v1,12,300000,1.2630658647816726,0.04465810692916302,synthetic,synthetic_aero_model_v1,0
ag17,ag17_v1,14,300000,1.2018934445704756,0.05088125649673105,synthetic,synthetic_aero_model_v1,0
ag17,ag17_v1,16,300000,1.1173184412119441,0.05799905198433699,synthetic,synthetic_aero_model_v1,0
ag17,ag17_v1,-4,500000,-0.44491785910251486,0.012865961760713246,synthetic,synthetic_aero_model_v1,0
ag17,ag17_v1,-2,500000,-0.21057734015130544,0.009116336360744196,synthetic,synthetic_aero_model_v1,0
ag17,ag17_v1,0,500000,0.0,0.007833298279632729,synthetic,synthetic_aero_model_v1,0
ag17,ag17_v1,2,500000,0.21230440707096937,0.008563520371472356,synthetic,synthetic_aero_model_v1,0
ag17,ag17_v1,4,500000,0.42767583135595766,0.01236076528058434,synthetic,synthetic_aero_model_v1,0
ag17,ag17_v1,6,500000,0.6459381701304945,0.017214246070502655,synthetic,synthetic_aero_model_v1,0
ag17,ag17_v1,8,500000,0.8222143309964778,0.02538403848465405,synthetic,synthetic_aero_model_v1,0
ag17,ag17_v1,10,500000,1.0156581361167032,0.03632878623076573,synthetic,synthetic_aero_model_v1,0
ag17,ag17_v1,12,500000,1.3021872165218689,0.04670421401478531,synthetic,synthetic_aero_model_v1,0
ag17,ag17_v1,14,500000,1.2356759971361222,0.0480503913097376,synthetic,synthetic_aero_model_v1,0
ag17,ag17_v1,16,500000,1.2056429204158619,0.0580143346300828,synthetic,synthetic_aero_model_v1,0
ag17,ag17_v1,-4,1000000,-0.44379071078726007,0.012573598452976408,synthetic,synthetic_aero_model_v1,0
ag17,ag17_v1,-2,1000000,-0.219807019201507,0.009183234518649327,synthetic,synthetic_aero_model_v1,0
ag17,ag17_v1,0,1000000,0.0,0.007761414212987306,synthetic,synthetic_aero_model_v1,0
ag17,ag17_v1,2,1000000,0.22053171855185583,0.009137728379322358,synthetic,synthetic_aero_model_v1,0
ag17,ag17_v1,4,1000000,0.43187287905967,0.012120799813010815,synthetic,synthetic_aero_model_v1,0
ag17,ag17_v1,6,1000000,0.664851423998262,0.017466979169093965,synthetic,synthetic_aero_model_v1,0
ag17,ag17_v1,8,1000000,0.8644085697791882,0.024847798478770156,synthetic,synthetic_aero_model_v1,0
ag17,ag17_v1,10,1000000,1.118584327333591,0.035298858031745914,synthetic,synthetic_aero_model_v1,0
ag17,ag17_v1,12,1000000,1.3168104018841915,0.04822553667805618,synthetic,synthetic_aero_model_v1,0
ag17,ag17_v1,14,1000000,1.3295867079142407,0.05591037769411897,synthetic,synthetic_aero_model_v1,0
ag17,ag17_v1,16,1000000,1.21718127342837,0.06220007423396737,synthetic,synthetic_aero_model_v1,0
ag17,ag17_v2,-4,100000,-0.4117690612506158,0.011733823004738145,synthetic,synthetic_aero_model_v1,0
ag17,ag17_v2,-2,100000,-0.1959408552873381,0.009369407655944946,synthetic,synthetic_aero_model_v1,0
ag17,ag17_v2,0,100000,0.0,0.007784794356619761,synthetic,synthetic_aero_model_v1,0
ag17,ag17_v2,2,100000,0.19693972422257414,0.00880588587543174,synthetic,synthetic_aero_model_v1,0
ag17,ag17_v2,4,100000,0.38926477134711884,0.011857563639972268,synthetic,synthetic_aero_model_v1,0
ag17,ag17_v2,6,100000,0.5889416304048484,0.016166306980083815,synthetic,synthetic_aero_model_v1,0
ag17,ag17_v2,8,100000,0.7867371311733332,0.02437849506249648,synthetic,synthetic_aero_model_v1,0
ag17,ag17_v2,10,100000,0.9520453918895594,0.03252697304875331,synthetic,synthetic_aero_model_v1,0
ag17,ag17_v2,12,100000,1.2035298598055024,0.044743796693251583,synthetic,synthetic_aero_model_v1,0
ag17,ag17_v2,14,100000,1.1922660949615367,0.05032479446745748,synthetic,synthetic_aero_model_v1,0
ag17,ag17_v2,16,100000,1.067492331366837,0.05662947046602594,synthetic,synthetic_aero_model_v1,0
ag17,ag17_v2,-4,300000,-0.4191071618335331,0.011637496062488354,synthetic,synthetic_aero_model_v1,0
