NACA 63(3)-618
1.000000,0.000000
0.979259,0.005552
0.958469,0.010909
0.937649,0.016148
0.916818,0.021347
0.895996,0.026584
0.875194,0.031896
0.854402,0.037245
0.833607,0.042590
0.812809,0.047915
0.792004,0.053219
0.771191,0.058486
0.750360,0.063684
0.729504,0.068782
0.708619,0.073761
0.687702,0.078601
0.666749,0.083284
0.645758,0.087795
0.624727,0.092113
0.603652,0.096217
0.582533,0.100084
0.561368,0.103694
0.540159,0.107031
0.518905,0.110074
0.497608,0.112799
0.476270,0.115183
0.454893,0.117199
0.433483,0.118818
0.412046,0.120019
0.390587,0.120782
0.369117,0.121078
0.347647,0.120867
0.326188,0.120119
0.304753,0.118850
0.283353,0.117087
0.262000,0.114831
0.240707,0.112061
0.219490,0.108758
0.198365,0.104909
0.177351,0.100497
0.156470,0.095490
0.135747,0.089847
0.115227,0.083503
0.094978,0.076356
0.075081,0.068286
0.055672,0.059097
0.037001,0.048498
0.019499,0.036037
0.004733,0.020530
0.000000,-0.000000
0.012786,-0.015637
0.030739,-0.025158
0.049948,-0.031917
0.069587,-0.037278
0.089464,-0.041686
0.109485,-0.045378
0.129606,-0.048475
0.149799,-0.051092
0.170037,-0.053332
0.190306,-0.055234
0.210605,-0.056793
0.230927,-0.058012
0.251266,-0.058914
0.271616,-0.059521
0.291972,-0.059843
0.312331,-0.059883
0.332688,-0.059628
0.353039,-0.059046
0.373376,-0.058115
0.393697,-0.056869
0.413999,-0.055350
0.434281,-0.053585
0.454540,-0.051584
0.474777,-0.049365
0.494992,-0.046954
0.515187,-0.044379
0.535363,-0.041663
0.555522,-0.038823
0.575666,-0.035880
0.595798,-0.032858
0.615923,-0.029782
0.636041,-0.026668
0.656156,-0.023534
0.676271,-0.020399
0.696390,-0.017287
0.716516,-0.014225
0.736655,-0.011243
0.756810,-0.008376
0.776984,-0.005652
0.797182,-0.003096
0.817405,-0.000737
0.837654,0.001373
0.857930,0.003171
0.878235,0.004618
0.898571,0.005693
0.918934,0.006340
0.939296,0.006348
0.959618,0.005462
0.979865,0.003431
1.000000,0.000000
